#     t                x                y                z                vx               vy               vz               m
      0.00000000      -0.94050597      -0.34501610       0.00000655       0.32817739      -0.94271519       0.00001456       1.00000000 
      0.01499948      -0.93547485      -0.35910832       0.00000481       0.34259450      -0.93630161      -0.00024589       0.99807940 
      0.02999896      -0.93022837      -0.37310288      -0.00000086       0.35692109      -0.92967948      -0.00051079       0.99615880 
      0.04499844      -0.92476790      -0.38699664      -0.00001053       0.37115487      -0.92285046      -0.00078013       0.99423820 
      0.05999792      -0.91909485      -0.40078654      -0.00002428       0.38529363      -0.91581623      -0.00105388       0.99231760 
      0.07499740      -0.91321040      -0.41446937      -0.00004216       0.39933507      -0.90857820      -0.00133201       0.99039699 
      0.08999688      -0.90711557      -0.42804184      -0.00006426       0.41327683      -0.90113762      -0.00161452       0.98847639 
      0.10499636      -0.90081258      -0.44150132      -0.00009062       0.42711717      -0.89349687      -0.00190136       0.98655579 
      0.11999584      -0.89430297      -0.45484481      -0.00012132       0.44085404      -0.88565763      -0.00219249       0.98463519 
      0.13499532      -0.88758830      -0.46806934      -0.00015642       0.45448547      -0.87762158      -0.00248790       0.98271459 
      0.14999480      -0.88066967      -0.48117172      -0.00019597       0.46800925      -0.86938992      -0.00278753       0.98079399 
      0.16499428      -0.87354878      -0.49414900      -0.00024007       0.48142348      -0.86096443      -0.00309136       0.97887339 
      0.17999376      -0.86622770      -0.50699858      -0.00028874       0.49472655      -0.85234719      -0.00339933       0.97695279 
      0.19499324      -0.85870812      -0.51971762      -0.00034206       0.50791664      -0.84353988      -0.00371140       0.97503219 
      0.20999272      -0.85099174      -0.53230326      -0.00040008       0.52099195      -0.83454418      -0.00402750       0.97311159 
      0.22499220      -0.84307960      -0.54475221      -0.00046290       0.53395035      -0.82536107      -0.00434759       0.97119098 
      0.23999168      -0.83497397      -0.55706202      -0.00053054       0.54679039      -0.81599276      -0.00467161       0.96927039 
      0.25499116      -0.82667684      -0.56923007      -0.00060307       0.55951052      -0.80644106      -0.00499946       0.96734979 
      0.26999064      -0.81819000      -0.58125362      -0.00068053       0.57210911      -0.79670764      -0.00533109       0.96542919 
      0.28499012      -0.80951525      -0.59312994      -0.00076299       0.58458450      -0.78679412      -0.00566640       0.96350859 
      0.29998960      -0.80065368      -0.60485571      -0.00085054       0.59693459      -0.77670139      -0.00600533       0.96158799 
      0.31498908      -0.79160799      -0.61642890      -0.00094318       0.60915836      -0.76643189      -0.00634777       0.95966739 
      0.32998856      -0.78238009      -0.62784689      -0.00104098       0.62125427      -0.75598724      -0.00669360       0.95774678 
      0.34498804      -0.77297189      -0.63910708      -0.00114399       0.63322081      -0.74536907      -0.00704272       0.95582618 
      0.35998752      -0.76338510      -0.65020663      -0.00125226       0.64505629      -0.73457877      -0.00739501       0.95390558 
      0.37498700      -0.75362140      -0.66114268      -0.00136585       0.65675901      -0.72361765      -0.00775035       0.95198498 
      0.38998648      -0.74368333      -0.67191322      -0.00148479       0.66832791      -0.71248786      -0.00810858       0.95006438 
      0.40498596      -0.73357291      -0.68251572      -0.00160912       0.67976153      -0.70119100      -0.00846955       0.94814378 
      0.41998544      -0.72329218      -0.69294770      -0.00173888       0.69105844      -0.68972868      -0.00883311       0.94622318 
      0.43498492      -0.71284276      -0.70320624      -0.00187411       0.70221685      -0.67810204      -0.00919908       0.94430258 
      0.44998440      -0.70222686      -0.71328898      -0.00201486       0.71323538      -0.66631279      -0.00956729       0.94238198 
      0.46498388      -0.69144689      -0.72319386      -0.00216114       0.72411291      -0.65436284      -0.00993752       0.94046138 
      0.47998336      -0.68050499      -0.73291846      -0.00231298       0.73484798      -0.64225375      -0.01030956       0.93854078 
      0.49498284      -0.66940331      -0.74246044      -0.00247041       0.74543916      -0.62998711      -0.01068318       0.93662017 
      0.50998232      -0.65814340      -0.75181672      -0.00263347       0.75588445      -0.61756388      -0.01105817       0.93469957 
      0.52498180      -0.64672795      -0.76098552      -0.00280216       0.76618281      -0.60498612      -0.01143425       0.93277897 
      0.53998128      -0.63515930      -0.76996471      -0.00297649       0.77633290      -0.59225551      -0.01181116       0.93085837 
      0.55498076      -0.62343965      -0.77875200      -0.00315648       0.78633321      -0.57937361      -0.01218861       0.92893777 
      0.56998024      -0.61157122      -0.78734503      -0.00334213       0.79618215      -0.56634192      -0.01256631       0.92701717 
      0.58497972      -0.59955575      -0.79574086      -0.00353345       0.80587761      -0.55316146      -0.01294394       0.92509657 
      0.59997920      -0.58739615      -0.80393808      -0.00373044       0.81541865      -0.53983441      -0.01332117       0.92317597 
      0.61497868      -0.57509475      -0.81193450      -0.00393307       0.82480365      -0.52636233      -0.01369766       0.92125537 
      0.62997816      -0.56265388      -0.81972797      -0.00414135       0.83403096      -0.51274679      -0.01407305       0.91933476 
      0.64497764      -0.55007571      -0.82731601      -0.00435523       0.84309864      -0.49898913      -0.01444695       0.91741416 
      0.65997712      -0.53736249      -0.83469622      -0.00457473       0.85200471      -0.48509075      -0.01481898       0.91549356 
      0.67497660      -0.52451701      -0.84186713      -0.00479979       0.86074788      -0.47105363      -0.01518874       0.91357296 
      0.68997608      -0.51154176      -0.84882666      -0.00503037       0.86932630      -0.45687937      -0.01555582       0.91165236 
      0.70497556      -0.49843920      -0.85557277      -0.00526642       0.87773808      -0.44256953      -0.01591978       0.90973176 
      0.71997504      -0.48521150      -0.86210283      -0.00550792       0.88598078      -0.42812536      -0.01628017       0.90781116 
      0.73497452      -0.47186136      -0.86841506      -0.00575480       0.89405255      -0.41354861      -0.01663655       0.90589056 
      0.74997400      -0.45839155      -0.87450788      -0.00600698       0.90195161      -0.39884110      -0.01698846       0.90396996 
      0.76497348      -0.44480468      -0.88037934      -0.00626440       0.90967581      -0.38400448      -0.01733544       0.90204935 
      0.77997296      -0.43110338      -0.88602752      -0.00652699       0.91722293      -0.36904037      -0.01767701       0.90012875 
      0.79497244      -0.41728988      -0.89144960      -0.00679467       0.92458995      -0.35394991      -0.01801267       0.89820815 
      0.80997192      -0.40336730      -0.89664450      -0.00706733       0.93177512      -0.33873522      -0.01834195       0.89628756 
      0.82497140      -0.38933842      -0.90161048      -0.00734488       0.93877610      -0.32339804      -0.01866437       0.89436696 
      0.83997088      -0.37520602      -0.90634573      -0.00762720       0.94559037      -0.30794006      -0.01897945       0.89244636 
      0.85497036      -0.36097287      -0.91084829      -0.00791419       0.95221523      -0.29236294      -0.01928670       0.89052576 
      0.86996984      -0.34664149      -0.91511564      -0.00820575       0.95864736      -0.27666801      -0.01958561       0.88860516 
      0.88496932      -0.33221519      -0.91914691      -0.00850171       0.96488476      -0.26085755      -0.01987574       0.88668456 
      0.89996880      -0.31769690      -0.92294041      -0.00880195       0.97092464      -0.24493333      -0.02015660       0.88476396 
