         # x	           y	           z	          vx	          vy	          vz
  -0.9405060	  -0.3450161	   0.0000065	   0.3281774	  -0.9427152	   0.0000146
  -0.9354656	  -0.3591525	   0.0000068	   0.3422014	  -0.9374511	   0.0000145
  -0.9302150	  -0.3732081	   0.0000070	   0.3561382	  -0.9319804	   0.0000144
  -0.9247555	  -0.3871799	   0.0000072	   0.3699846	  -0.9263045	   0.0000143
  -0.9190885	  -0.4010649	   0.0000074	   0.3837378	  -0.9204250	   0.0000141
  -0.9132154	  -0.4148599	   0.0000076	   0.3973948	  -0.9143435	   0.0000140
  -0.9071377	  -0.4285620	   0.0000078	   0.4109528	  -0.9080617	   0.0000139
  -0.9008569	  -0.4421681	   0.0000080	   0.4244088	  -0.9015813	   0.0000138
  -0.8943745	  -0.4556753	   0.0000083	   0.4377601	  -0.8949040	   0.0000137
  -0.8876921	  -0.4690806	   0.0000085	   0.4510038	  -0.8880315	   0.0000136
  -0.8808115	  -0.4823811	   0.0000087	   0.4641372	  -0.8809657	   0.0000134
  -0.8737342	  -0.4955739	   0.0000089	   0.4771576	  -0.8737084	   0.0000133
  -0.8664619	  -0.5086562	   0.0000091	   0.4900622	  -0.8662615	   0.0000132
  -0.8589966	  -0.5216251	   0.0000093	   0.5028483	  -0.8586268	   0.0000130
  -0.8513398	  -0.5344777	   0.0000094	   0.5155134	  -0.8508063	   0.0000129
  -0.8434936	  -0.5472114	   0.0000096	   0.5280548	  -0.8428021	   0.0000127
  -0.8354597	  -0.5598234	   0.0000098	   0.5404699	  -0.8346161	   0.0000126
  -0.8272400	  -0.5723109	   0.0000100	   0.5527563	  -0.8262503	   0.0000125
  -0.8188366	  -0.5846713	   0.0000102	   0.5649113	  -0.8177069	   0.0000123
  -0.8102515	  -0.5969018	   0.0000104	   0.5769326	  -0.8089879	   0.0000122
  -0.8014866	  -0.6090000	   0.0000106	   0.5888177	  -0.8000955	   0.0000120
  -0.7925440	  -0.6209632	   0.0000108	   0.6005641	  -0.7910319	   0.0000118
  -0.7834258	  -0.6327888	   0.0000109	   0.6121697	  -0.7817992	   0.0000117
  -0.7741342	  -0.6444743	   0.0000111	   0.6236319	  -0.7723997	   0.0000115
  -0.7646714	  -0.6560172	   0.0000113	   0.6349486	  -0.7628356	   0.0000114
  -0.7550394	  -0.6674151	   0.0000114	   0.6461174	  -0.7531093	   0.0000112
  -0.7452407	  -0.6786655	   0.0000116	   0.6571362	  -0.7432231	   0.0000110
  -0.7352774	  -0.6897661	   0.0000118	   0.6680028	  -0.7331792	   0.0000108
  -0.7251518	  -0.7007145	   0.0000119	   0.6787150	  -0.7229801	   0.0000107
  -0.7148664	  -0.7115083	   0.0000121	   0.6892707	  -0.7126281	   0.0000105
  -0.7044234	  -0.7221454	   0.0000123	   0.6996679	  -0.7021257	   0.0000103
  -0.6938253	  -0.7326234	   0.0000124	   0.7099045	  -0.6914753	   0.0000101
  -0.6830744	  -0.7429402	   0.0000126	   0.7199786	  -0.6806794	   0.0000100
  -0.6721734	  -0.7530936	   0.0000127	   0.7298881	  -0.6697405	   0.0000098
  -0.6611245	  -0.7630814	   0.0000129	   0.7396312	  -0.6586610	   0.0000096
  -0.6499304	  -0.7729015	   0.0000130	   0.7492060	  -0.6474436	   0.0000094
  -0.6385936	  -0.7825520	   0.0000131	   0.7586106	  -0.6360907	   0.0000092
  -0.6271167	  -0.7920308	   0.0000133	   0.7678433	  -0.6246050	   0.0000090
  -0.6155023	  -0.8013358	   0.0000134	   0.7769022	  -0.6129891	   0.0000088
  -0.6037529	  -0.8104652	   0.0000135	   0.7857857	  -0.6012455	   0.0000086
  -0.5918713	  -0.8194171	   0.0000137	   0.7944921	  -0.5893769	   0.0000084
  -0.5798602	  -0.8281896	   0.0000138	   0.8030197	  -0.5773860	   0.0000082
  -0.5677221	  -0.8367809	   0.0000139	   0.8113670	  -0.5652754	   0.0000080
  -0.5554599	  -0.8451892	   0.0000140	   0.8195323	  -0.5530479	   0.0000078
  -0.5430763	  -0.8534128	   0.0000141	   0.8275141	  -0.5407061	   0.0000076
  -0.5305741	  -0.8614499	   0.0000143	   0.8353110	  -0.5282527	   0.0000074
  -0.5179560	  -0.8692990	   0.0000144	   0.8429214	  -0.5156906	   0.0000072
  -0.5052249	  -0.8769584	   0.0000145	   0.8503441	  -0.5030224	   0.0000070
  -0.4923835	  -0.8844264	   0.0000146	   0.8575775	  -0.4902510	   0.0000068
  -0.4794349	  -0.8917017	   0.0000147	   0.8646205	  -0.4773790	   0.0000066
  -0.4663818	  -0.8987827	   0.0000148	   0.8714716	  -0.4644094	   0.0000064
  -0.4532271	  -0.9056680	   0.0000149	   0.8781297	  -0.4513450	   0.0000061
  -0.4399738	  -0.9123561	   0.0000150	   0.8845936	  -0.4381885	   0.0000059
  -0.4266247	  -0.9188457	   0.0000151	   0.8908620	  -0.4249428	   0.0000057
  -0.4131828	  -0.9251354	   0.0000151	   0.8969338	  -0.4116108	   0.0000055
  -0.3996512	  -0.9312241	   0.0000152	   0.9028080	  -0.3981953	   0.0000053
  -0.3860326	  -0.9371104	   0.0000153	   0.9084835	  -0.3846991	   0.0000050
  -0.3723303	  -0.9427932	   0.0000154	   0.9139592	  -0.3711253	   0.0000048
  -0.3585471	  -0.9482713	   0.0000154	   0.9192343	  -0.3574766	   0.0000046
  -0.3446861	  -0.9535436	   0.0000155	   0.9243078	  -0.3437560	   0.0000044
  -0.3307504	  -0.9586091	   0.0000156	   0.9291788	  -0.3299663	   0.0000042
  -0.3167429	  -0.9634668	   0.0000156	   0.9338464	  -0.3161106	   0.0000039
  -0.3026668	  -0.9681156	   0.0000157	   0.9383098	  -0.3021917	   0.0000037
  -0.2885250	  -0.9725546	   0.0000157	   0.9425684	  -0.2882125	   0.0000035
  -0.2743208	  -0.9767830	   0.0000158	   0.9466212	  -0.2741761	   0.0000033
  -0.2600573	  -0.9808000	   0.0000158	   0.9504677	  -0.2600853	   0.0000030
  -0.2457374	  -0.9846046	   0.0000159	   0.9541072	  -0.2459431	   0.0000028
  -0.2313643	  -0.9881963	   0.0000159	   0.9575390	  -0.2317525	   0.0000026
  -0.2169413	  -0.9915742	   0.0000160	   0.9607627	  -0.2175164	   0.0000023
  -0.2024713	  -0.9947377	   0.0000160	   0.9637777	  -0.2032378	   0.0000021
  -0.1879575	  -0.9976862	   0.0000160	   0.9665834	  -0.1889197	   0.0000019
  -0.1734031	  -1.0004191	   0.0000161	   0.9691795	  -0.1745650	   0.0000017
  -0.1588113	  -1.0029359	   0.0000161	   0.9715655	  -0.1601767	   0.0000014
  -0.1441852	  -1.0052361	   0.0000161	   0.9737410	  -0.1457579	   0.0000012
  -0.1295279	  -1.0073193	   0.0000161	   0.9757058	  -0.1313114	   0.0000010
  -0.1148427	  -1.0091851	   0.0000161	   0.9774595	  -0.1168404	   0.0000007
  -0.1001328	  -1.0108331	   0.0000161	   0.9790018	  -0.1023477	   0.0000005
  -0.0854012	  -1.0122630	   0.0000161	   0.9803326	  -0.0878364	   0.0000003
  -0.0706511	  -1.0134746	   0.0000161	   0.9814517	  -0.0733094	   0.0000000
  -0.0558859	  -1.0144676	   0.0000161	   0.9823589	  -0.0587697	  -0.0000002
  -0.0411086	  -1.0152420	   0.0000161	   0.9830542	  -0.0442204	  -0.0000004
  -0.0263224	  -1.0157975	   0.0000161	   0.9835375	  -0.0296644	  -0.0000007
  -0.0115306	  -1.0161341	   0.0000161	   0.9838087	  -0.0151048	  -0.0000009
   0.0032637	  -1.0162518	   0.0000161	   0.9838679	  -0.0005444	  -0.0000011
   0.0180573	  -1.0161505	   0.0000161	   0.9837152	   0.0140137	  -0.0000014
   0.0328470	  -1.0158303	   0.0000161	   0.9833507	   0.0285666	  -0.0000016
   0.0476297	  -1.0152914	   0.0000160	   0.9827744	   0.0431112	  -0.0000018
   0.0624021	  -1.0145339	   0.0000160	   0.9819866	   0.0576446	  -0.0000020
   0.0771610	  -1.0135579	   0.0000160	   0.9809874	   0.0721639	  -0.0000023
   0.0919034	  -1.0123637	   0.0000159	   0.9797772	   0.0866659	  -0.0000025
   0.1066259	  -1.0109516	   0.0000159	   0.9783562	   0.1011479	  -0.0000027
   0.1213255	  -1.0093218	   0.0000159	   0.9767248	   0.1156068	  -0.0000030
   0.1359990	  -1.0074749	   0.0000158	   0.9748833	   0.1300396	  -0.0000032
   0.1506433	  -1.0054112	   0.0000158	   0.9728322	   0.1444435	  -0.0000034
   0.1652551	  -1.0031311	   0.0000157	   0.9705718	   0.1588155	  -0.0000036
   0.1798313	  -1.0006351	   0.0000156	   0.9681026	   0.1731526	  -0.0000039
   0.1943689	  -0.9979238	   0.0000156	   0.9654253	   0.1874519	  -0.0000041
   0.2088646	  -0.9949978	   0.0000155	   0.9625403	   0.2017106	  -0.0000043
   0.2233154	  -0.9918578	   0.0000155	   0.9594483	   0.2159256	  -0.0000045
   0.2377182	  -0.9885043	   0.0000154	   0.9561498	   0.2300941	  -0.0000047
   0.2520698	  -0.9849381	   0.0000153	   0.9526456	   0.2442132	  -0.0000050
   0.2663672	  -0.9811601	   0.0000152	   0.9489363	   0.2582800	  -0.0000052
   0.2806072	  -0.9771709	   0.0000152	   0.9450228	   0.2722916	  -0.0000054
   0.2947869	  -0.9729714	   0.0000151	   0.9409058	   0.2862452	  -0.0000056
   0.3089031	  -0.9685626	   0.0000150	   0.9365860	   0.3001379	  -0.0000058
   0.3229529	  -0.9639453	   0.0000149	   0.9320645	   0.3139669	  -0.0000060
   0.3369332	  -0.9591206	   0.0000148	   0.9273421	   0.3277292	  -0.0000063
   0.3508409	  -0.9540895	   0.0000147	   0.9224196	   0.3414221	  -0.0000065
   0.3646732	  -0.9488530	   0.0000146	   0.9172982	   0.3550429	  -0.0000067
   0.3784269	  -0.9434123	   0.0000145	   0.9119787	   0.3685886	  -0.0000069
   0.3920992	  -0.9377684	   0.0000144	   0.9064623	   0.3820564	  -0.0000071
   0.4056870	  -0.9319227	   0.0000143	   0.9007500	   0.3954437	  -0.0000073
   0.4191875	  -0.9258762	   0.0000142	   0.8948430	   0.4087477	  -0.0000075
   0.4325977	  -0.9196304	   0.0000141	   0.8887424	   0.4219655	  -0.0000077
   0.4459147	  -0.9131864	   0.0000140	   0.8824493	   0.4350945	  -0.0000079
   0.4591356	  -0.9065457	   0.0000138	   0.8759651	   0.4481320	  -0.0000081
   0.4722576	  -0.8997097	   0.0000137	   0.8692909	   0.4610752	  -0.0000083
   0.4852779	  -0.8926798	   0.0000136	   0.8624281	   0.4739215	  -0.0000085
   0.4981935	  -0.8854574	   0.0000135	   0.8553781	   0.4866681	  -0.0000087
   0.5110017	  -0.8780441	   0.0000133	   0.8481421	   0.4993125	  -0.0000089
   0.5236997	  -0.8704415	   0.0000132	   0.8407216	   0.5118520	  -0.0000091
