         # x	           y	           z	          vx	          vy	          vz
  -0.9405060	  -0.3450161	   0.0000065	   0.3327041	  -0.9312417	  -0.0020214
  -0.9348315	  -0.3604879	  -0.0000271	   0.3482449	  -0.9253953	  -0.0020212
  -0.9288988	  -0.3758601	  -0.0000608	   0.3636832	  -0.9192957	  -0.0020205
  -0.9227097	  -0.3911286	  -0.0000945	   0.3790152	  -0.9129448	  -0.0020192
  -0.9162660	  -0.4062892	  -0.0001281	   0.3942371	  -0.9063443	  -0.0020174
  -0.9095695	  -0.4213377	  -0.0001617	   0.4093449	  -0.8994961	  -0.0020150
  -0.9026223	  -0.4362700	  -0.0001953	   0.4243349	  -0.8924022	  -0.0020120
  -0.8954262	  -0.4510820	  -0.0002288	   0.4392032	  -0.8850646	  -0.0020085
  -0.8879834	  -0.4657698	  -0.0002622	   0.4539460	  -0.8774853	  -0.0020044
  -0.8802959	  -0.4803292	  -0.0002956	   0.4685598	  -0.8696664	  -0.0019998
  -0.8802959	  -0.4803292	  -0.0002956	   0.4730753	  -0.8579597	  -0.0042683
  -0.8722907	  -0.4945612	  -0.0003667	   0.4875591	  -0.8499030	  -0.0042628
  -0.8640452	  -0.5086570	  -0.0004377	   0.5019120	  -0.8416102	  -0.0042562
  -0.8555617	  -0.5226126	  -0.0005085	   0.5161307	  -0.8330831	  -0.0042483
  -0.8468422	  -0.5364242	  -0.0005793	   0.5302114	  -0.8243237	  -0.0042393
  -0.8378893	  -0.5500878	  -0.0006498	   0.5441507	  -0.8153340	  -0.0042292
  -0.8287053	  -0.5635998	  -0.0007202	   0.5579450	  -0.8061160	  -0.0042178
  -0.8192926	  -0.5769562	  -0.0007904	   0.5715908	  -0.7966719	  -0.0042053
  -0.8096538	  -0.5901533	  -0.0008604	   0.5850847	  -0.7870038	  -0.0041917
  -0.7997914	  -0.6031875	  -0.0009301	   0.5984233	  -0.7771138	  -0.0041768
  -0.7997914	  -0.6031875	  -0.0009301	   0.6031266	  -0.7652923	  -0.0066756
  -0.7896295	  -0.6158580	  -0.0010413	   0.6163092	  -0.7551815	  -0.0066593
  -0.7792493	  -0.6283581	  -0.0011521	   0.6293354	  -0.7448509	  -0.0066411
  -0.7686533	  -0.6406843	  -0.0012626	   0.6422019	  -0.7343023	  -0.0066210
  -0.7578442	  -0.6528328	  -0.0013728	   0.6549051	  -0.7235379	  -0.0065991
  -0.7468248	  -0.6648002	  -0.0014826	   0.6674416	  -0.7125597	  -0.0065753
  -0.7355979	  -0.6765828	  -0.0015919	   0.6798081	  -0.7013697	  -0.0065496
  -0.7241663	  -0.6881772	  -0.0017009	   0.6920012	  -0.6899702	  -0.0065221
  -0.7125330	  -0.6995799	  -0.0018093	   0.7040174	  -0.6783633	  -0.0064928
  -0.7007009	  -0.7107874	  -0.0019173	   0.7158533	  -0.6665512	  -0.0064616
  -0.7007009	  -0.7107874	  -0.0019173	   0.7210209	  -0.6548484	  -0.0091534
  -0.6885869	  -0.7216013	  -0.0020696	   0.7326761	  -0.6428316	  -0.0091199
  -0.6762802	  -0.7322132	  -0.0022212	   0.7441498	  -0.6306101	  -0.0090838
  -0.6637838	  -0.7426198	  -0.0023723	   0.7554385	  -0.6181860	  -0.0090451
  -0.6511008	  -0.7528176	  -0.0025227	   0.7665388	  -0.6055614	  -0.0090038
  -0.6382344	  -0.7628034	  -0.0026724	   0.7774472	  -0.5927385	  -0.0089599
  -0.6251879	  -0.7725738	  -0.0028214	   0.7881601	  -0.5797195	  -0.0089133
  -0.6119645	  -0.7821256	  -0.0029695	   0.7986741	  -0.5665067	  -0.0088641
  -0.5985675	  -0.7914556	  -0.0031168	   0.8089857	  -0.5531024	  -0.0088122
  -0.5850003	  -0.8005607	  -0.0032632	   0.8190915	  -0.5395091	  -0.0087577
  -0.5850003	  -0.8005607	  -0.0032632	   0.8246656	  -0.5284646	  -0.0115320
  -0.5711736	  -0.8092535	  -0.0034549	   0.8345642	  -0.5146820	  -0.0114744
  -0.5571837	  -0.8177151	  -0.0036457	   0.8442544	  -0.5007097	  -0.0114135
  -0.5430340	  -0.8259422	  -0.0038354	   0.8537322	  -0.4865502	  -0.0113490
  -0.5287281	  -0.8339318	  -0.0040239	   0.8629942	  -0.4722058	  -0.0112811
  -0.5142697	  -0.8416808	  -0.0042114	   0.8720365	  -0.4576789	  -0.0112097
  -0.4996625	  -0.8491863	  -0.0043976	   0.8808554	  -0.4429721	  -0.0111348
  -0.4849101	  -0.8564451	  -0.0045825	   0.8894472	  -0.4280879	  -0.0110565
  -0.4700165	  -0.8634544	  -0.0047661	   0.8978081	  -0.4130291	  -0.0109746
  -0.4549855	  -0.8702113	  -0.0049483	   0.9059343	  -0.3977984	  -0.0108893
  -0.4549855	  -0.8702113	  -0.0049483	   0.9112851	  -0.3888801	  -0.0135428
  -0.4397319	  -0.8765643	  -0.0051732	   0.9191743	  -0.3734776	  -0.0134536
  -0.4243488	  -0.8826592	  -0.0053967	   0.9268239	  -0.3579033	  -0.0133600
  -0.4088402	  -0.8884930	  -0.0056185	   0.9342297	  -0.3421601	  -0.0132621
  -0.3932103	  -0.8940632	  -0.0058387	   0.9413879	  -0.3262509	  -0.0131598
  -0.3774631	  -0.8993668	  -0.0060572	   0.9482943	  -0.3101787	  -0.0130532
  -0.3616030	  -0.9044012	  -0.0062738	   0.9549450	  -0.2939467	  -0.0129423
  -0.3456342	  -0.9091638	  -0.0064885	   0.9613359	  -0.2775582	  -0.0128269
  -0.3295610	  -0.9136520	  -0.0067013	   0.9674631	  -0.2610164	  -0.0127072
  -0.3133880	  -0.9178632	  -0.0069121	   0.9733225	  -0.2443248	  -0.0125832
  -0.3133880	  -0.9178632	  -0.0069121	   0.9797781	  -0.2383591	  -0.0139860
  -0.2970120	  -0.9216956	  -0.0071441	   0.9853659	  -0.2215188	  -0.0138574
  -0.2805451	  -0.9252461	  -0.0073739	   0.9906780	  -0.2045311	  -0.0137238
  -0.2639921	  -0.9285123	  -0.0076015	   0.9957102	  -0.1873996	  -0.0135854
  -0.2473575	  -0.9314918	  -0.0078267	   1.0004583	  -0.1701285	  -0.0134422
  -0.2306462	  -0.9341823	  -0.0080495	   1.0049180	  -0.1527215	  -0.0132940
  -0.2138630	  -0.9365816	  -0.0082698	   1.0090851	  -0.1351830	  -0.0131410
  -0.1970129	  -0.9386875	  -0.0084875	   1.0129556	  -0.1175173	  -0.0129832
  -0.1801007	  -0.9404980	  -0.0087026	   1.0165253	  -0.0997286	  -0.0128204
  -0.1631316	  -0.9420110	  -0.0089148	   1.0197901	  -0.0818217	  -0.0126529
  -0.1631316	  -0.9420110	  -0.0089148	   1.0274415	  -0.0767167	  -0.0136658
  -0.1459831	  -0.9431396	  -0.0091412	   1.0303966	  -0.0586940	  -0.0134932
  -0.1287879	  -0.9439668	  -0.0093646	   1.0330371	  -0.0405584	  -0.0133153
