         # t	           x	           y	           z	         DVx	         DVy	         DVz	      DVnorm	       DVmax	           m
   0.0000000	  -0.9405060	  -0.3450161	   0.0000065	   0.0045268	   0.0114734	  -0.0020360	   0.0125011	   0.0126473	   1.0000000
   0.1499948	  -0.8802959	  -0.4803292	  -0.0002956	   0.0045156	   0.0117067	  -0.0022684	   0.0127508	   0.0128897	   0.9811951
   0.2999896	  -0.7997914	  -0.6031875	  -0.0009301	   0.0047033	   0.0118215	  -0.0024988	   0.0129658	   0.0131417	   0.9623788
   0.4499844	  -0.7007009	  -0.7107874	  -0.0019173	   0.0051675	   0.0117028	  -0.0026918	   0.0130731	   0.0134030	   0.9436152
   0.5999792	  -0.5850003	  -0.8005607	  -0.0032632	   0.0055741	   0.0110445	  -0.0027742	   0.0126787	   0.0136718	   0.9250667
   0.7499740	  -0.4549855	  -0.8702113	  -0.0049483	   0.0053507	   0.0089182	  -0.0026536	   0.0107334	   0.0139376	   0.9074262
   0.8999688	  -0.3133880	  -0.9178632	  -0.0069121	   0.0064556	   0.0059656	  -0.0014029	   0.0089012	   0.0141666	   0.8927553
   1.0499636	  -0.1631316	  -0.9420110	  -0.0089148	   0.0076515	   0.0051050	  -0.0010129	   0.0092537	   0.0143594	   0.8807689
   1.1999584	  -0.0075684	  -0.9411772	  -0.0108393	   0.0085600	   0.0054066	  -0.0015213	   0.0102381	   0.0145626	   0.8684784
   1.3499532	   0.1494433	  -0.9141928	  -0.0126987	   0.0087311	   0.0050712	  -0.0018241	   0.0102604	   0.0147908	   0.8550802
   1.4999480	   0.3035052	  -0.8606505	  -0.0144714	   0.0102166	   0.0052328	  -0.0017188	   0.0116067	   0.0150230	   0.8418602
   1.6499428	   0.4501064	  -0.7809475	  -0.0160734	   0.0119098	   0.0072802	  -0.0017877	   0.0140727	   0.0152902	   0.8271518
   1.7999376	   0.5846896	  -0.6762763	  -0.0174501	   0.0096571	   0.0102228	  -0.0019890	   0.0142028	   0.0156205	   0.8096626
   1.9499324	   0.7023728	  -0.5488892	  -0.0185764	   0.0072101	   0.0128856	  -0.0007337	   0.0147839	   0.0159610	   0.7923866
   2.0999272	   0.7989287	  -0.4022276	  -0.0192249	   0.0063253	   0.0140301	   0.0023386	   0.0155667	   0.0163234	   0.7747952
   2.2499220	   0.8714478	  -0.2408741	  -0.0189232	   0.0058554	   0.0134653	   0.0032279	   0.0150340	   0.0167139	   0.7566943
   2.3999168	   0.9184603	  -0.0701787	  -0.0175664	   0.0022688	   0.0049746	   0.0019373	   0.0058007	   0.0170999	   0.7396144
   2.5499116	   0.9395001	   0.1033256	  -0.0154165	   0.0002076	   0.0024366	   0.0007803	   0.0025669	   0.0172511	   0.7331279
   2.6999064	   0.9356245	   0.2745154	  -0.0127396	  -0.0002886	   0.0008092	   0.0004459	   0.0009679	   0.0173185	   0.7302757
   2.8499012	   0.9090468	   0.4392470	  -0.0096866	  -0.0002199	   0.0008657	   0.0004418	   0.0009965	   0.0173440	   0.7292031
   2.9998960	   0.8625784	   0.5945828	  -0.0063549	  -0.0001519	   0.0010735	   0.0004672	   0.0011806	   0.0173703	   0.7281004
   3.1498908	   0.7992047	   0.7385107	  -0.0028278	  -0.0001757	   0.0010317	   0.0004770	   0.0011502	   0.0174014	   0.7267962
   3.2998856	   0.7218324	   0.8697492	   0.0008212	  -0.0002522	   0.0008057	   0.0004809	   0.0009716	   0.0174319	   0.7255279
   3.4498804	   0.6331516	   0.9875938	   0.0045304	  -0.0003359	   0.0005007	   0.0004880	   0.0007757	   0.0174576	   0.7244583
   3.5998752	   0.5355722	   1.0917773	   0.0082505	  -0.0003967	   0.0001853	   0.0005020	   0.0006661	   0.0174782	   0.7236054
   3.7498700	   0.4312094	   1.1823481	   0.0119433	  -0.0004193	  -0.0001072	   0.0005236	   0.0006793	   0.0174959	   0.7228738
   3.8998648	   0.3218954	   1.2595709	   0.0155803	  -0.0004008	  -0.0003684	   0.0005521	   0.0007753	   0.0175139	   0.7221284
   4.0498596	   0.2092070	   1.3238504	   0.0191410	  -0.0003479	  -0.0006096	   0.0005857	   0.0009142	   0.0175346	   0.7212787
   4.1998544	   0.0944955	   1.3756743	   0.0226110	  -0.0002767	  -0.0008581	   0.0006221	   0.0010954	   0.0175589	   0.7202780
   4.3498492	  -0.0210818	   1.4155706	   0.0259806	  -0.0002094	  -0.0011470	   0.0006583	   0.0013390	   0.0175881	   0.7190808
   4.4998440	  -0.1365350	   1.4440761	   0.0292432	  -0.0001671	  -0.0014964	   0.0006919	   0.0016571	   0.0176239	   0.7176201
   4.6498388	  -0.2510168	   1.4617166	   0.0323942	  -0.0001678	  -0.0019125	   0.0007241	   0.0020518	   0.0176684	   0.7158166
   4.7998336	  -0.3638017	   1.4689947	   0.0354306	  -0.0002830	  -0.0025695	   0.0007749	   0.0026987	   0.0177235	   0.7135897
   4.9498284	  -0.4742757	   1.4663576	   0.0383534	  -0.0008399	  -0.0046366	   0.0009256	   0.0048021	   0.0177963	   0.7106712
   5.0998232	  -0.5819680	   1.4540180	   0.0411794	  -0.0020596	  -0.0072295	   0.0010672	   0.0075925	   0.0179265	   0.7055075
   5.2498180	  -0.6865675	   1.4320844	   0.0439245	  -0.0041187	  -0.0080434	   0.0007015	   0.0090637	   0.0181344	   0.6974199
   5.3998128	  -0.7879352	   1.4009081	   0.0465283	  -0.0051519	  -0.0123087	  -0.0003300	   0.0133474	   0.0183857	   0.6878863
   5.5498076	  -0.8858124	   1.3603025	   0.0488309	  -0.0054344	  -0.0168315	  -0.0012873	   0.0177338	   0.0187622	   0.6740838
   5.6998024	  -0.9798516	   1.3100253	   0.0506839	  -0.0042033	  -0.0182784	  -0.0024059	   0.0189092	   0.0192743	   0.6561727
   5.8497972	  -1.0694924	   1.2502829	   0.0519163	  -0.0032030	  -0.0189255	  -0.0030979	   0.0194430	   0.0198358	   0.6375985
   5.9997920	  -1.1542179	   1.1813949	   0.0524225	  -0.0054757	  -0.0195653	   0.0005914	   0.0203257	   0.0204302	   0.6002322
