#{"t_start": 1602351007.327734, "env_id": "lowthrust-v0"}
r,l,t
-819.751934,40,0.419455
-1084.782041,40,0.452459
-1238.214412,40,0.484497
-1106.626744,40,0.517423
-1140.61026,40,0.774288
-907.250965,40,0.808334
-1027.53731,40,0.842427
-1150.319532,40,0.875522
-979.575125,40,1.020663
-1255.204573,40,1.053663
-1178.559916,40,1.086868
-988.695294,40,1.119944
-1057.744157,40,1.265245
-1131.606534,40,1.299479
-1254.311744,40,1.334169
-978.40528,40,1.368867
-820.230529,40,1.518889
-1118.704522,40,1.552148
-1071.231094,40,1.585653
-1036.40651,40,1.618983
-1063.158588,40,1.762666
-917.550212,40,1.793725
-1217.817476,40,1.824191
-965.10908,40,1.853563
-929.900018,40,1.995113
-1163.744502,40,2.026514
-1200.472534,40,2.056753
-1123.097594,40,2.086266
-839.639996,40,2.227485
-1036.718382,40,2.257772
-994.117877,40,2.288509
-815.912715,40,2.319239
-1030.813376,40,2.461517
-909.354976,40,2.492912
-1129.980763,40,2.52556
-1065.536751,40,2.555364
-937.148785,40,2.696941
-868.280668,40,2.728125
-803.906864,40,2.758379
-710.179949,40,2.78949
-870.290004,40,2.932283
-816.312786,40,2.963472
-778.589791,40,2.993741
-757.38206,40,3.024421
-629.493629,40,3.167881
-842.902412,40,3.199025
-732.106997,40,3.230083
-644.135323,40,3.260219
-636.64467,40,3.401593
-876.082526,40,3.432477
-669.90787,40,3.461981
-967.323289,40,3.492813
-942.886366,40,3.638582
-933.050848,40,3.669118
-1004.516896,40,3.699509
-815.569462,40,3.729427
-646.47914,40,3.875847
-650.71032,40,3.907321
-826.438319,40,3.937233
-1036.836885,40,3.966545
-666.669855,40,4.108322
-510.909335,40,4.140081
-914.825508,40,4.171267
-910.371151,40,4.202407
-724.269094,40,4.344318
-526.262197,40,4.374723
-688.293504,40,4.404194
-585.854264,40,4.434323
-970.863375,40,4.581645
-576.815731,40,4.611871
-657.779914,40,4.641907
-659.488126,40,4.672306
-555.742283,40,4.814062
-657.622323,40,4.845151
-722.638167,40,4.875221
-861.35455,40,4.905354
-674.38972,40,5.049187
-387.707381,40,5.080278
-705.984543,40,5.111449
-512.43531,40,5.140377
-540.526362,40,5.284193
-589.800949,40,5.316132
-529.28386,40,5.346941
-699.812776,40,5.377074
-524.650804,40,5.519787
-450.119016,40,5.551753
-625.849382,40,5.581822
-653.996302,40,5.612878
-542.069898,40,5.756291
-639.097759,40,5.788039
-737.997981,40,5.818918
-471.493836,40,5.850059
-711.59706,40,5.991815
-319.175749,40,6.023
-581.622261,40,6.053823
-730.236134,40,6.084328
-541.223591,40,6.224481
-520.643612,40,6.255568
-535.860765,40,6.287102
-497.749842,40,6.316936
-511.947354,40,6.45949
-255.569239,40,6.490206
-385.942604,40,6.519848
-437.342663,40,6.550967
-431.763967,40,6.691239
-398.441137,40,6.722079
-297.872226,40,6.7527
-304.928276,40,6.783231
-597.394463,40,6.924962
-388.023196,40,6.955886
-509.318957,40,6.986116
-599.958475,40,7.016327
-382.272018,40,7.156081
-531.686557,40,7.186814
-464.201316,40,7.216978
-361.293986,40,7.246492
-516.652896,40,7.388612
-445.840801,40,7.419302
-361.809911,40,7.450368
-382.571752,40,7.4811
-532.130139,40,7.622051
-473.037439,40,7.653227
-329.191557,40,7.682973
-376.285459,40,7.712812
-418.867277,40,7.856427
-285.835678,40,7.8873
-353.989937,40,7.916908
-290.759469,40,7.947293
-435.622882,40,8.088632
-313.786213,40,8.119595
-463.348008,40,8.150626
-572.902664,40,8.180013
-281.669807,40,8.323086
-656.63905,40,8.353756
-403.320921,40,8.383475
-244.864176,40,8.413458
-280.75245,40,8.55724
-216.299397,40,8.588686
-269.63721,40,8.618394
-509.59296,40,8.648335
-325.443187,40,8.790684
-320.319857,40,8.821114
-422.602117,40,8.852476
-589.236024,40,8.883467
-301.50776,40,9.027543
-338.560203,40,9.059492
-318.130192,40,9.089863
-187.25089,40,9.120129
-307.307729,40,9.263843
-462.746974,40,9.295442
-240.110682,40,9.326892
-339.933472,40,9.356641
-424.701677,40,9.500327
-297.37647,40,9.535664
-256.561301,40,9.566769
-338.911294,40,9.596254
-313.42578,40,9.737209
-339.741031,40,9.767359
-125.162518,40,9.796624
-212.160402,40,9.826342
-197.658806,40,9.966777
-255.862621,40,9.998161
-255.319519,40,10.028939
-186.418564,40,10.060039
-222.820001,40,10.202089
-177.546344,40,10.233571
-160.551061,40,10.264551
-257.240446,40,10.295017
-353.375628,40,10.437039
-238.748348,40,10.467968
-154.284197,40,10.498433
-171.976081,40,10.529112
-167.344916,40,10.673229
-185.057818,40,10.70519
-164.069738,40,10.734725
-160.507725,40,10.763935
-286.427266,40,10.905912
-439.319234,40,10.937318
-249.847093,40,10.968987
-176.020808,40,10.999517
-216.619935,40,11.142079
-189.927366,40,11.172973
-207.218939,40,11.202652
-192.721001,40,11.231982
-181.987255,40,11.372417
-159.851793,40,11.402873
-182.431192,40,11.433931
-174.440229,40,11.464296
-200.154109,40,11.607852
-329.031582,40,11.640043
-363.215342,40,11.671298
-229.983209,40,11.701115
-152.503802,40,11.842836
-208.26561,40,11.873888
-214.061263,40,11.903496
-222.183045,40,11.93329
-104.935686,40,12.074782
-142.684083,40,12.105273
-218.942534,40,12.134721
-160.562795,40,12.165658
-158.749892,40,12.307359
-189.127453,40,12.338207
-89.320936,40,12.368197
-154.784445,40,12.398561
-184.812266,40,12.541292
-168.801977,40,12.573795
-92.873727,40,12.603958
-145.375751,40,12.635392
-184.336782,40,12.777595
-41.383641,40,12.809516
-131.552445,40,12.839763
-250.490225,40,12.86976
-60.678521,40,13.017128
-170.370017,40,13.048196
-116.500526,40,13.07836
-157.807409,40,13.108178
-188.054794,40,13.252775
-229.47472,40,13.285333
-139.487623,40,13.315062
-166.74532,40,13.344546
-58.671797,40,13.489835
-84.972405,40,13.521196
-145.468467,40,13.552477
-209.698469,40,13.58258
-81.467654,40,13.724792
-95.757699,40,13.755939
-153.932347,40,13.78684
-113.030122,40,13.817606
-144.565889,40,13.960701
-175.566328,40,13.992055
-65.599728,40,14.022283
-95.764192,40,14.051362
-128.062001,40,14.192706
-101.204077,40,14.222404
-157.36894,40,14.253017
-91.663893,40,14.28387
-150.424655,40,14.425627
-120.065827,40,14.457389
-150.401477,40,14.48803
-90.525925,40,14.518025
-118.186881,40,14.661178
-75.745524,40,14.693594
-52.551944,40,14.723776
-96.893425,40,14.75435
-117.107308,40,14.898556
-96.915596,40,14.929935
-90.014499,40,14.95933
-112.340018,40,14.990461
-105.268996,40,15.131965
-51.661905,40,15.163139
-214.787749,40,15.193637
-164.508619,40,15.223052
-115.234434,40,15.36365
-30.087842,40,15.39524
-76.03929,40,15.42599
-68.529366,40,15.456118
-68.273658,40,15.599269
-45.652625,40,15.631063
-50.805938,40,15.662079
-57.26742,40,15.693021
-99.777192,40,15.836048
-66.255883,40,15.865266
-166.055344,40,15.894643
-100.91078,40,15.924391
-124.675244,40,16.065641
-89.60498,40,16.097027
-97.264171,40,16.127573
-111.193738,40,16.15817
-75.096459,40,16.299551
-87.597139,40,16.33168
-68.257178,40,16.36264
-55.997167,40,16.392724
-49.773909,40,16.53515
-115.574677,40,16.565986
-54.794862,40,16.59529
-64.611878,40,16.625171
-48.622538,40,16.7675
-79.873784,40,16.798615
-61.769003,40,16.828882
-102.587966,40,16.860595
-70.051294,40,17.001988
-27.447449,40,17.033095
-80.990374,40,17.061948
-87.026343,40,17.091994
-62.097636,40,17.234558
-38.201479,40,17.265352
-75.729993,40,17.295167
-18.878306,40,17.326299
-24.853087,40,17.46908
-104.106774,40,17.500913
-22.427117,40,17.530292
-28.119172,40,17.56838
-28.133553,40,17.711242
-99.004832,40,17.743505
-73.595531,40,17.774026
-40.515632,40,17.805179
-50.524125,40,17.947902
-44.89009,40,17.97828
-36.363618,40,18.008877
-133.927933,40,18.038813
-16.953684,40,18.17887
-75.292269,40,18.209044
-54.003401,40,18.238734
-37.082539,40,18.269397
-37.722402,40,18.412956
-42.893956,40,18.443249
-58.978015,40,18.4722
-34.571528,40,18.501924
-31.831592,40,18.646127
-24.586166,40,18.677796
-18.751884,40,18.707289
-40.452924,40,18.737079
-44.361902,40,18.880102
-19.338394,40,18.912196
